price,experience,missions,competences,supermalter,Ville,Region_Name
250,8-15 ans,1 158,"['Traduction Français Anglais', 'Traduction Français Allemand', 'Natif', 'Anglais', 'Allemand', 'Traduction Allemand Français', 'Traduction Anglais Français', 'Traduction', 'Sous-titrage', 'Traduction Anglais Allemand', 'Traduction juridique', 'Traduction marketing', 'Traduction technique', 'Transcréation', 'Traduction Allemand Anglais', 'Traduction médicale', 'Français']",1,Paris,île-de-france
400,15 ans et +,351,"['Emailing', 'Intégration Emailing', 'Bannières HTML5', 'Email marketing', 'Intégration Responsive', 'Intégration web', 'Responsive design', 'Design Bannières', 'Template emailing', 'JavaScript', 'HTML5', 'Mailchimp', 'Mailjet', 'Animations HTML5', 'Newsletter', 'CSS3', 'GSAP', 'MJML', 'Git', 'SASS', 'Webdesign', 'Adobe Photoshop', 'Adobe After Effects', 'Motion design', 'Adobe Animate', 'animation web', 'HTML', 'Design Newsletter', 'Design Email', 'Graphisme', 'gif animé']",1,Paris,île-de-france
260,8-15 ans,1 085,"['Conception rédaction', 'Copywriting', 'Rédaction web SEO', 'Livre Blanc', 'Site vitrine', 'Rédaction', 'Interview', 'Articles', 'Rédaction web', 'Copywriter', 'Article de blog', 'Stratégie éditoriale', 'Responsable éditorial', 'Cas client', 'Rédaction SEO', 'Consulting éditorial', 'UX Writing', 'Blog', 'Contenu éditorial', 'Storytelling', 'Ebook', 'Réécriture', 'Pilotage de projets', 'rewriting', 'Brand content', 'Inbound marketing', 'Landing page', 'Rédaction de contenu', 'Marketing de contenu', 'Tone of voice', 'Charte éditoriale', 'Journalisme', 'documentaliste', 'Relecture', 'Communication', 'Wording', 'print', 'Portrait', 'Script Voix Off', 'Publi-rédactionnel', 'Baseline', 'Copywriting Ads', 'Accroche', 'B2B', 'B2C', 'Orthographe', 'Plaquette', 'Expression écrite', 'Accompagnement éditorial', 'Communication RH']",1,Paris,île-de-france
250,3-7 ans,265,"['Rédaction web', 'Copywriting', 'Landing page', 'page de vente', 'Rédaction SEO', 'Marketing de contenu', 'Stratégie éditoriale', 'Conception rédaction', 'Storytelling', 'Bienveillante', 'Rédaction de contenus', ""A l'écoute"", 'Organisée', 'Rédaction', 'Relecture', 'Correction', 'Blog', 'écologie', 'développement personnel', 'Rédacteur web SEO', 'Réécriture']",1,Paris,île-de-france
260,3-7 ans,148,"['Sous-titrage', 'Montage vidéo', 'Adobe Premiere Pro', 'Adobe After Effects', ""Film d'entreprise"", 'Retranscription', 'Français', 'Anglais', 'Espagnol', 'Allemand', 'sous-titrage youtube', 'incrustation sous-titres', 'sous-titres', 'Relecture', 'Synchronisation', 'sous titrage', 'sous titrage youtube', 'video youtube sous-titrage', 'adaptation sous-titres', 'Relecture correction', 'Relecture et correction', 'Retranscription audio', 'Transcription', 'transcripteur', 'Adobe Premiere', 'Subtitling', 'sous-titrage instagram', 'sous-titrage tiktok', 'sous-titrage shorts', 'Monteur vidéo', 'monteuse', ""vidéo d'entreprise"", 'animation logo', 'vidéo institutionnelle', 'Vidéo instagram', 'vidéo youtube', 'édition vidéo', 'Video Editing', 'Post-production', 'Infographie', 'Motion Graphics', 'Motion design', 'VFX', 'effets visuels', 'After Effects', 'color grading', 'colorimétrie', 'Post-production vidéo', 'étalonnage']",0,Paris,île-de-france
550,15 ans et +,171,"['Google Ads', 'SEA', 'Expert Google Ads', 'Google AdWords', 'sea google adwords', 'Expert Google', 'SEM', 'Marketing', 'Webmarketing', 'Allemand', 'Acquisition trafic', 'Stratégie webmarketing', 'Audit Google Ads', 'Anglais', 'Retargeting', 'Display', 'SEA allemand', 'Bing Ads', 'Analytics', 'Google Analytics', 'Stratégie de communication', 'Communication digitale', 'Stratégie de positionnement', 'Formation AdWords', 'Formation Sea', 'Formation webmarketing', 'formation google ads', 'Google', 'Fintech', 'Assurtech', 'Google Expert', 'Yahoo Ads', 'microsoft ads', 'formation sem', 'google ads allemand', 'adwords allemand', 'Audit SEA', 'audit adwords', 'google marketing', 'expert adwords', 'expert sea', 'adword', 'Adwords', 'Adwords Google', 'Optimisation Adwords', 'LinkedIn Marketing', 'LinkedIn Ads']",1,Paris,île-de-france
400,3-7 ans,201,"['Formation SEO', 'cocon sémantique', 'Audit SEO', 'optimisation on-page', 'consultant seo', 'fiche produit', 'Rédaction web', 'Rédaction SEO', 'référencement naturel', 'référencement', 'SEO', 'stratégie seo', 'netlinking seo', 'mots-clés', 'Blog', 'Analyse sémantique', 'Contenus optimisés', 'Audit sémantique', 'Mots-clés seo', 'Rédacteur web SEO', 'Maillage interne', 'Formateur', 'Formation', 'Recherche de mots clés', 'Stratégie de mots-clés', 'SEO Wordpress', 'Référencement SEO', 'Rédaction web SEO', 'Optimisation SEO', 'Référencement local', 'Référencement web', 'Optimisation de référencement', 'Seo Sémantique', 'SEMrush', 'Yourtextguru', 'Screaming Frog', 'Ahrefs']",1,Paris,île-de-france
600,8-15 ans,278,"['SEO', 'SEA', 'Stratégie webmarketing', 'Consultant SEO', 'Google Ads', 'Web analytics', 'Google AdWords', 'Gestion de projet web', 'Audit SEO', 'Google Analytics', 'Webmarketing', 'Rédaction SEO', 'Google Tag Manager', 'Avis clients', 'Facebook', 'Audit', 'Google', 'Analytics', 'Search Console', 'Mots clés SEO', 'Optimisation de Blog', 'SEO Wordpress', 'Netlinking SEO', 'Formation SEO', 'Rédaction web', 'Acquisition trafic', 'Marketing', 'Optimisation On-Page', 'Optimisation Off-Page', 'Stratégie de positionnement', 'Publicité au CPC', 'Schema.org', 'Webmastering', 'Données structurées', 'Optimisation SEO', 'Rédaction web SEO', 'Google Shopping', 'Google Data Studio']",1,Paris,île-de-france
500,3-7 ans,251,"['Edition', 'Identité visuelle', 'Graphisme print', 'Adobe Creative Suite', 'Microsoft Powerpoint', 'Mise en page', 'Direction artistique', 'Graphisme', 'Branding', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Design logo', 'Webdesign', 'Retouche photo', 'Affiche', 'Flyer', 'Carte de visite', 'Charte graphique', 'Plaquette', 'catalogue', 'infographie', 'design bannières']",1,Paris,île-de-france
550,8-15 ans,244,"['Ui/UX', 'Webdesign', 'User Interface Design', 'Direction artistique', 'Application Mobile', 'User Experience Design', 'ergonomie', 'application', 'iPhone', 'Android', 'ergonome', 'appli', 'Design', 'Smartphone', 'Axure', 'Sketch', 'Balsamiq', 'Invision', 'Charte graphique', 'zeplin', 'atomic design', 'Figma']",1,Paris,île-de-france
